Components,Mean_MAE,Mean_RMSE,Mean_R2
15,0.8255295515060425,1.450531686973053,-0.13223313093185424
5,0.8712789654731751,1.4913219021111765,-0.2612481951713562
25,0.9115195631980896,1.515034875589325,-0.26829861402511596
20,0.8938339471817016,1.5210923558895104,-0.2778419017791748
10,0.9240283370018005,1.5808157957339457,-0.41330971717834475
75,0.8997029900550843,1.6020051245266202,-0.4025254249572754
50,0.9449586987495422,1.603105593431453,-0.3972160339355469
127,0.950817322731018,1.6075650715249108,-0.4441690444946289
60,0.9597594976425171,1.6078766478073558,-0.3439354538917542
110,0.9578702926635743,1.6262556771143746,-0.4503385305404663
90,0.94739830493927,1.6357944453320794,-0.49550542831420896
120,0.978513503074646,1.6367404635487475,-0.5130751132965088
100,0.9497936248779297,1.6440899125310562,-0.49368815422058104
40,0.989815866947174,1.6509559139670067,-0.471519923210144
30,0.9981147170066833,1.6518332867030163,-0.5766742467880249
