Model,MAE,RMSE,R2
Fusion,1.549859972050973,4.10235074867282,0.6040219704272869
Image,2.0051698992997324,4.7762655784343,0.4632371557215307
Weather,2.070998822349766,4.927971446209542,0.42859784147537794
