model,n,mae,rmse,r2,median_absolute_error,mean_bias,macro_mae,low_visibility_mae,ceiling_label_mae,within_1km,within_2km,is_selected_learned_model,mae_ci95_low,mae_ci95_high,rmse_ci95_low,rmse_ci95_high,macro_mae_ci95_low,macro_mae_ci95_high
transfer_weighted_ridge,127,1.036829499289551,1.6274782319150918,-0.2856047770605081,0.6828344794974708,-0.0209888221582325,2.6901286423989195,2.6436772510609567,0.7001566370136376,0.6614173228346457,0.905511811023622,True,0.7104654096212185,1.5056247124451339,1.1405115585917815,2.190059023774103,1.8107215127179113,3.3182365321452334
fusion_pca_xgboost,127,0.8927312460471326,1.4866458728939058,-0.0727342816734686,0.5152416229248047,-0.0244245228804941,2.794019155791312,2.5102553367614746,0.5538214365641276,0.8740157480314961,0.9133858267716536,False,0.6610824249010014,1.2453634975126133,1.002506071512059,2.0185947035726355,1.7834471801819842,3.570398168908751
weather_ridge,127,0.9685288652040788,1.5204213760827878,-0.1220314608288064,0.6562392281231517,-0.0441711263106917,2.8186119027542897,2.6085694247224684,0.6249013194002258,0.889763779527559,0.9133858267716536,False,0.745427319911236,1.3020110110869885,1.0469387801665424,2.0385321312755025,1.879810566817466,3.5501434044090825
image_pca_ridge,127,1.0080025850712029,1.5479435773847203,-0.1630204568879507,0.6766052048527023,-0.0655331774418841,2.84000640247214,2.488541868043624,0.6977943543531714,0.7401574803149606,0.8976377952755905,False,0.7742040797329056,1.3622859267980694,1.1086943226566333,2.07391360071375,1.7694760882323128,3.563418903614337
fusion_pca_ridge,127,1.013149510733672,1.5596227590889915,-0.1806365632600048,0.6710795216657157,-0.0722016754411981,2.850082361236096,2.5051830522075256,0.700532959186769,0.7401574803149606,0.8976377952755905,False,0.7724056108638111,1.3741579823038381,1.1129150452296914,2.094672446376873,1.7719437901498283,3.565601526294262
dummy_median,127,0.5275590551181102,1.5292425174462532,-0.1350887752031297,0.0,0.5275590551181102,3.0,3.0454545454545454,0.0,0.9133858267716536,0.9133858267716536,False,0.25337834927199104,0.9612268314210062,0.9672374971106759,2.1335688878362347,2.0,3.6666666666666665
