model,n,mae,rmse,r2,median_absolute_error,mean_bias,macro_mae,low_visibility_mae,ceiling_label_mae,within_1km,within_2km,balanced_regime_mae,date_macro_mae,balanced_regime_mae_estimate,ceiling_label_mae_estimate,date_macro_mae_estimate,low_visibility_mae_estimate,mae_estimate,mean_bias_estimate,r2_estimate,rmse_estimate,within_1km_estimate,balanced_regime_mae_ci95_low,ceiling_label_mae_ci95_low,date_macro_mae_ci95_low,low_visibility_mae_ci95_low,mae_ci95_low,mean_bias_ci95_low,r2_ci95_low,rmse_ci95_low,within_1km_ci95_low,balanced_regime_mae_ci95_high,ceiling_label_mae_ci95_high,date_macro_mae_ci95_high,low_visibility_mae_ci95_high,mae_ci95_high,mean_bias_ci95_high,r2_ci95_high,rmse_ci95_high,within_1km_ci95_high,mae_95ci,rmse_95ci,balanced_regime_mae_95ci,date_macro_mae_95ci
dummy_10km,127,0.5275590551181102,1.5292425174462532,-0.1350887752031297,0.0,0.5275590551181102,3.0,3.0454545454545454,0.0,0.9133858267716536,0.9133858267716536,1.5227272727272727,0.7681159420289854,1.5227272727272727,0.0,0.7681159420289854,3.0454545454545454,0.5275590551181102,0.5275590551181102,-0.1350887752031297,1.5292425174462532,0.9133858267716536,0.9310344827586208,0.0,0.358695652173913,1.862068965517241,0.2424242424242424,0.2424242424242424,-0.2673011432902022,0.958110218297924,0.8301886792452831,2.5217638339920945,0.0,1.2934782608695652,5.043527667984189,0.9565448658649396,0.9565448658649396,-0.0632553101730781,2.12008443825958,0.9689922480620154,"0.528 [0.242, 0.957]","1.529 [0.958, 2.120]","1.523 [0.931, 2.522]","0.768 [0.359, 1.293]"
nested_svr_mae,127,0.6514178138359764,1.4535487651730417,-0.0255015323930225,0.2384986223647907,0.3026033463593258,2.8992217656234422,2.7536519851091685,0.2109497017596887,0.9133858267716536,0.9133858267716536,1.4823008434344287,0.8720113510556619,1.4823008434344287,0.2109497017596887,0.8720113510556619,2.7536519851091685,0.6514178138359764,0.3026033463593259,-0.0255015323930225,1.4535487651730417,0.9133858267716536,0.8979821605675461,0.1670395721341752,0.5001985305859917,1.586658351258058,0.3900574627563296,0.0285443035732919,-0.1352287907279883,0.9201271423035644,0.8301886792452831,2.462897049056457,0.2843040195365167,1.348247357859249,4.720292582059471,1.0431412763379913,0.7065889196939332,0.0406158983645437,2.005781825455299,0.9689922480620154,"0.651 [0.390, 1.043]","1.454 [0.920, 2.006]","1.482 [0.898, 2.463]","0.872 [0.500, 1.348]"
nested_svr_balanced,127,0.7308192581446684,1.4217866359517364,0.0188261698928877,0.3354010825790841,0.1308803484294238,2.691429576586212,2.490838952021403,0.3620532270466858,0.8976377952755905,0.905511811023622,1.4264460895340445,0.9106353696529306,1.4264460895340445,0.3620532270466858,0.9106353696529308,2.490838952021403,0.7308192581446682,0.1308803484294238,0.0188261698928877,1.4217866359517364,0.8976377952755905,0.8485407186470005,0.2813699325507455,0.5702033534182077,1.3357232949917257,0.4939361498094182,-0.1428422082878357,-0.1465200212973347,0.96884316607231,0.8204954954954955,2.394150172348074,0.440988458254712,1.327896359877618,4.446237350487092,1.0721414260857045,0.5331111311407489,0.0844766071227703,1.901609910875145,0.9551305970149254,"0.731 [0.494, 1.072]","1.422 [0.969, 1.902]","1.426 [0.849, 2.394]","0.911 [0.570, 1.328]"
fusion_pca_xgboost,127,0.8927312460471326,1.4866458728939058,-0.0727342816734686,0.5152416229248047,-0.0244245228804941,2.794019155791312,2.5102553367614746,0.5538214365641276,0.8740157480314961,0.9133858267716536,1.5320383866628011,1.076069080155639,1.5320383866628011,0.5538214365641276,1.076069080155639,2.5102553367614746,0.8927312460471326,-0.024424522880494,-0.0727342816734686,1.4866458728939058,0.8740157480314961,0.9058259946557424,0.4768992439560268,0.7298072766490683,1.2578928227865982,0.6571538594943928,-0.3258595464880019,-0.2139057956269056,1.0070272776581943,0.7899963768115943,2.5776674569464872,0.6367767391816113,1.5238908080926346,4.604615131616592,1.2402793381118244,0.4229895762731444,-0.023307926659777,2.006195576369812,0.940677966101695,"0.893 [0.657, 1.240]","1.487 [1.007, 2.006]","1.532 [0.906, 2.578]","1.076 [0.730, 1.524]"
image_pca_ridge,127,0.9486451900588856,1.5304094364443297,-0.1368217403879918,0.6182035954672767,-0.124890572454201,2.8176473097087835,2.479678567593645,0.6278572442896978,0.7401574803149606,0.8976377952755905,1.5537679059416716,1.1447741139677456,1.5537679059416716,0.6278572442896978,1.1447741139677456,2.479678567593645,0.9486451900588856,-0.124890572454201,-0.1368217403879918,1.5304094364443297,0.7401574803149606,0.9531350407397284,0.4461186434540214,0.7921378220166738,1.284515472977119,0.6690104011504038,-0.4444705676774856,-0.4558413371851149,1.0831824192348822,0.6249732905982907,2.51187981733621,0.7807827947648913,1.5900765001248458,4.4237731867956445,1.317031289954942,0.3278455485310448,-0.0171632123555705,2.0314485703752565,0.8323361946626977,"0.949 [0.669, 1.317]","1.530 [1.083, 2.031]","1.554 [0.953, 2.512]","1.145 [0.792, 1.590]"
fusion_pca_ridge,127,0.9573822799889662,1.5411107704001794,-0.1527756965619007,0.6352309494887596,-0.1279689061859037,2.826371165517608,2.491421023991319,0.6359646383884731,0.7401574803149606,0.8976377952755905,1.563692831189896,1.1502039404867783,1.563692831189896,0.6359646383884733,1.1502039404867783,2.491421023991319,0.9573822799889662,-0.1279689061859037,-0.1527756965619007,1.5411107704001794,0.7401574803149606,0.957825596663748,0.452264464242138,0.7881640300974108,1.2875135675510412,0.6746738634517617,-0.4485658102188632,-0.4784448293964759,1.091151568490212,0.6249732905982907,2.524531215656633,0.7958479383121362,1.6088824105011927,4.437905875483988,1.3313221579623165,0.3341844977354592,-0.0247575816447527,2.048321317425206,0.8323361946626977,"0.957 [0.675, 1.331]","1.541 [1.091, 2.048]","1.564 [0.958, 2.525]","1.150 [0.788, 1.609]"
weather_ridge,127,0.9582281638195448,1.5192565110910392,-0.1203128392590373,0.6562392281231517,-0.0544718276952254,2.8154971668594424,2.6085694247224684,0.6124423758208374,0.889763779527559,0.9133858267716536,1.6105059002716529,1.0925201043897552,1.610505900271653,0.6124423758208375,1.0925201043897557,2.6085694247224684,0.958228163819545,-0.0544718276952255,-0.1203128392590373,1.5192565110910392,0.889763779527559,1.0018022656885828,0.4899106233060942,0.7319080803119389,1.3909657386663294,0.7226454004472529,-0.3798570306470056,-0.3169008309074505,1.0477151814770098,0.793796658371845,2.628802716528642,0.7027523137992029,1.5618848663744849,4.654255159777424,1.295097493381962,0.4339526009926565,-0.0569135028479018,2.0341640772659977,0.9573203165542292,"0.958 [0.723, 1.295]","1.519 [1.048, 2.034]","1.611 [1.002, 2.629]","1.093 [0.732, 1.562]"
transfer_weighted_ridge_reference,127,1.0368294992895513,1.6274782319150918,-0.2856047770605083,0.6828344794974708,-0.0209888221582326,2.6901286423989195,2.6436772510609567,0.7001566370136377,0.6614173228346457,0.905511811023622,1.6719169440372972,1.303620351827256,1.6719169440372972,0.7001566370136377,1.303620351827256,2.6436772510609567,1.0368294992895513,-0.0209888221582326,-0.2856047770605083,1.6274782319150918,0.6614173228346457,1.031536488537106,0.4923986139197492,0.9053506885413872,1.3954907699239003,0.7076433179639972,-0.3812600205525559,-0.6627673924314442,1.1404885168791778,0.5,2.65451413114884,0.956921131273419,1.7963491990091172,4.618216552124708,1.5004457792214283,0.4384260371407137,-0.0997936588261607,2.1875667537781336,0.7902180589680589,"1.037 [0.708, 1.500]","1.627 [1.140, 2.188]","1.672 [1.032, 2.655]","1.304 [0.905, 1.796]"
