date,model,n,n_low_visibility,mae,rmse,mean_bias
2026-05-27,dummy_10km,6,0,0.0,0.0,0.0
2026-05-27,weather_ridge,6,0,0.6730953800573651,0.691888530011552,-0.6730953800573651
2026-05-27,image_pca_ridge,6,0,0.6659478665887978,0.7700413909971161,-0.6659478665887978
2026-05-27,fusion_pca_ridge,6,0,0.659583472681558,0.775631134444291,-0.659583472681558
2026-05-27,fusion_pca_xgboost,6,0,0.4955528577168779,0.5345793011176107,-0.4955528577168779
2026-05-27,nested_svr_mae,6,0,0.1853181529270582,0.2174317624061523,-0.1853181529270582
2026-05-27,nested_svr_balanced,6,0,0.1853181529270582,0.2174317624061523,-0.1853181529270582
2026-05-27,transfer_weighted_ridge_reference,6,0,1.0876028818585206,1.21500243830366,-1.0876028818585206
2026-05-28,dummy_10km,4,0,0.0,0.0,0.0
2026-05-28,weather_ridge,4,0,0.3043126669982534,0.3538343953330262,-0.3043126669982534
2026-05-28,image_pca_ridge,4,0,0.353033335222507,0.5016700269833456,-0.353033335222507
2026-05-28,fusion_pca_ridge,4,0,0.3038190205052444,0.4806668838863491,-0.3038190205052444
2026-05-28,fusion_pca_xgboost,4,0,0.4101078510284419,0.4478223756198217,-0.4101078510284419
2026-05-28,nested_svr_mae,4,0,0.0181378716074545,0.036275743214909,-0.0181378716074545
2026-05-28,nested_svr_balanced,4,0,0.2318601803054449,0.3177509383895258,-0.2318601803054449
2026-05-28,transfer_weighted_ridge_reference,4,0,0.207378647568603,0.3298096214611832,-0.1836795789054526
2026-05-29,dummy_10km,5,0,0.0,0.0,0.0
2026-05-29,weather_ridge,5,0,0.4536906575176935,0.4741709239869482,-0.4536906575176935
2026-05-29,image_pca_ridge,5,0,0.4978324246597655,0.6076103184075576,-0.4978324246597655
2026-05-29,fusion_pca_ridge,5,0,0.4771322342905869,0.5856728489139436,-0.4771322342905869
2026-05-29,fusion_pca_xgboost,5,0,0.4015106201171875,0.4029543833311263,-0.4015106201171875
2026-05-29,nested_svr_mae,5,0,0.17993746379063,0.2058013808358882,-0.17993746379063
2026-05-29,nested_svr_balanced,5,0,0.4286612944342461,0.4991673323636775,-0.4286612944342461
2026-05-29,transfer_weighted_ridge_reference,5,0,0.5785363165411063,0.7189427689890672,-0.5785363165411063
2026-06-01,dummy_10km,4,0,0.0,0.0,0.0
2026-06-01,weather_ridge,4,0,0.5325619183790771,0.5380230361884358,-0.5325619183790771
2026-06-01,image_pca_ridge,4,0,0.8127836858450492,0.929809715607394,-0.8127836858450492
2026-06-01,fusion_pca_ridge,4,0,0.8118127680514982,0.9339674809055464,-0.8118127680514982
2026-06-01,fusion_pca_xgboost,4,0,0.6368350982666025,0.6628360660087325,-0.6368350982666025
2026-06-01,nested_svr_mae,4,0,0.2022228710679607,0.2134384859047272,-0.2022228710679607
2026-06-01,nested_svr_balanced,4,0,0.0823871575892707,0.134840932310623,-0.0823871575892707
2026-06-01,transfer_weighted_ridge_reference,4,0,0.9917621354557516,1.0245694934402134,-0.9917621354557516
2026-06-02,dummy_10km,5,0,0.0,0.0,0.0
2026-06-02,weather_ridge,5,0,0.9784125859539016,0.9797993762147816,-0.9784125859539016
2026-06-02,image_pca_ridge,5,0,0.4538294544518916,0.4835257280315321,-0.4538294544518916
2026-06-02,fusion_pca_ridge,5,0,0.5898261051846472,0.6067463380220789,-0.5898261051846472
2026-06-02,fusion_pca_xgboost,5,0,0.7446142196655273,0.7523847596515866,-0.7446142196655273
2026-06-02,nested_svr_mae,5,0,0.0747747652622777,0.108779061961392,-0.0747747652622777
2026-06-02,nested_svr_balanced,5,0,0.4715318505305174,0.5006390320056749,-0.4715318505305174
2026-06-02,transfer_weighted_ridge_reference,5,0,1.0263234312717997,1.1165779673857985,-1.0263234312717997
2026-06-03,dummy_10km,4,4,1.0,1.0,1.0
2026-06-03,weather_ridge,4,4,0.5063498388656527,0.5082428007577527,0.5063498388656527
2026-06-03,image_pca_ridge,4,4,0.4072001624521184,0.4986745301928592,0.3345572227568181
2026-06-03,fusion_pca_ridge,4,4,0.4217050951313554,0.5105104568103347,0.3526719988265068
2026-06-03,fusion_pca_xgboost,4,4,0.3374650478363041,0.4104821411178703,0.3374650478363041
2026-06-03,nested_svr_mae,4,4,0.7300385139466434,0.7634418958878781,0.7300385139466434
2026-06-03,nested_svr_balanced,4,4,0.6515187190157996,0.7372379908487822,0.6112527555077913
2026-06-03,transfer_weighted_ridge_reference,4,4,0.8720144530246492,0.8997769310250175,-0.8720144530246492
2026-06-04,dummy_10km,4,3,0.75,0.8660254037844386,0.75
2026-06-04,weather_ridge,4,3,0.6268720608583358,0.6331927135595321,0.297063805424516
2026-06-04,image_pca_ridge,4,3,0.4844647897202496,0.5156497810732127,-0.0048412018061649
2026-06-04,fusion_pca_ridge,4,3,0.5048463282943669,0.5411749254501432,0.0166518044495274
2026-06-04,fusion_pca_xgboost,4,3,0.4535384178161625,0.4555362767522735,0.2516570091247563
2026-06-04,nested_svr_mae,4,3,0.6581663487943379,0.6711370439112984,0.3521940899689131
2026-06-04,nested_svr_balanced,4,3,0.5646904257656225,0.5923055499796025,0.1390260893843855
2026-06-04,transfer_weighted_ridge_reference,4,3,0.4270342778380374,0.7016751317376622,-0.319432381285464
2026-06-05,dummy_10km,4,1,1.25,2.5,1.25
2026-06-05,weather_ridge,4,1,1.5088728459010017,2.325413937407212,0.7708965221482313
2026-06-05,image_pca_ridge,4,1,1.5171915380371588,2.2873024079336988,0.7072569386744134
2026-06-05,fusion_pca_ridge,4,1,1.5307455821938034,2.288122083839845,0.6899578080913966
2026-06-05,fusion_pca_xgboost,4,1,1.5922572612762451,2.4697143181990926,0.8300788402557373
2026-06-05,nested_svr_mae,4,1,1.276086207043568,2.3191679162583547,1.0380601757518817
