model,reference,metric,difference_model_minus_dummy,ci95_low,ci95_high,interval_excludes_zero,direction
nested_svr_balanced,dummy_10km,date_macro_mae,0.1425194276239454,0.0004636008894217,0.2701776049290436,True,lower_is_better
nested_svr_balanced,dummy_10km,within_1km,-0.015748031496063,-0.0441176470588235,0.0,False,higher_is_better
transfer_weighted_ridge_reference,dummy_10km,mae,0.5092704441714411,0.327655563082977,0.7231949988950964,True,lower_is_better
transfer_weighted_ridge_reference,dummy_10km,rmse,0.0982357144688386,-0.0409068053439759,0.2584605266344931,False,lower_is_better
transfer_weighted_ridge_reference,dummy_10km,r2,-0.1505160018573785,-0.572111679732854,0.0543198478736857,False,higher_is_better
transfer_weighted_ridge_reference,dummy_10km,mean_bias,-0.5485478772763428,-0.8357340385790017,-0.2667658935833287,True,lower_is_better
transfer_weighted_ridge_reference,dummy_10km,low_visibility_mae,-0.4017772943935886,-0.732243267970082,-0.1509521571729357,True,lower_is_better
transfer_weighted_ridge_reference,dummy_10km,ceiling_label_mae,0.7001566370136377,0.4923986139197492,0.956921131273419,True,lower_is_better
transfer_weighted_ridge_reference,dummy_10km,balanced_regime_mae,0.1491896713100244,-0.0302492886722799,0.3225788351977113,False,lower_is_better
transfer_weighted_ridge_reference,dummy_10km,date_macro_mae,0.5355044097982706,0.3400387889040128,0.7466567615171635,True,lower_is_better
transfer_weighted_ridge_reference,dummy_10km,within_1km,-0.2519685039370078,-0.3775782643154349,-0.1459815997566909,True,higher_is_better
