mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_n_estimators,param_max_depth,param_learning_rate,param_colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
251.56306131680807,7.540971136841378,0.457473357518514,0.08029845492617912,0.7,300,8,0.01,0.8,"{'subsample': 0.7, 'n_estimators': 300, 'max_depth': 8, 'learning_rate': 0.01, 'colsample_bytree': 0.8}",0.553901612984788,0.5741574832695291,0.5903971159679726,0.57281873740743,0.014929269123913931,11
108.45011146863301,0.9862438232180802,0.14972885449727377,0.06812999555838983,0.8,500,5,0.05,0.7,"{'subsample': 0.8, 'n_estimators': 500, 'max_depth': 5, 'learning_rate': 0.05, 'colsample_bytree': 0.7}",0.5649586305654071,0.5996385346253007,0.6125241327033666,0.5923737659646915,0.020086511165094276,2
76.65282495816548,1.3508055123568192,0.10869296391805013,0.024680935157083826,0.8,500,4,0.1,0.8,"{'subsample': 0.8, 'n_estimators': 500, 'max_depth': 4, 'learning_rate': 0.1, 'colsample_bytree': 0.8}",0.5255384644622481,0.5666812757598314,0.5772703443559897,0.5564966948593564,0.02231354021551141,14
75.19767872492473,2.207457918391317,0.08720008532206218,0.019619250380717428,0.7,300,5,0.05,1.0,"{'subsample': 0.7, 'n_estimators': 300, 'max_depth': 5, 'learning_rate': 0.05, 'colsample_bytree': 1.0}",0.5719375349291707,0.5845035768941774,0.6118786038639131,0.589439905229087,0.016675286104191965,3
79.95229085286458,1.0215014132442561,0.07221523920694987,0.008141590796157313,0.7,300,5,0.01,1.0,"{'subsample': 0.7, 'n_estimators': 300, 'max_depth': 5, 'learning_rate': 0.01, 'colsample_bytree': 1.0}",0.5505559385056411,0.5689371471472741,0.5854409540025565,0.5683113465518239,0.014248620900376185,13
58.22145223617554,1.437729299345663,0.05891728401184082,0.007782563246001941,0.8,200,5,0.01,1.0,"{'subsample': 0.8, 'n_estimators': 200, 'max_depth': 5, 'learning_rate': 0.01, 'colsample_bytree': 1.0}",0.5116360875656658,0.5364820950389487,0.5505730432324563,0.5328970752790236,0.016096809293742895,17
74.34745375315349,0.710231668496622,0.08159708976745605,0.008671710100705023,0.8,300,5,0.03,0.8,"{'subsample': 0.8, 'n_estimators': 300, 'max_depth': 5, 'learning_rate': 0.03, 'colsample_bytree': 0.8}",0.5541912308690219,0.5944693462873109,0.614298084577779,0.5876528872447039,0.02500741958034503,4
78.83402975400288,1.4699424015745188,0.2640844980875651,0.20910891892128497,1.0,200,6,0.01,0.7,"{'subsample': 1.0, 'n_estimators': 200, 'max_depth': 6, 'learning_rate': 0.01, 'colsample_bytree': 0.7}",0.4993280732033246,0.5193786179488271,0.5282605232836397,0.5156557381452639,0.012101419818525862,18
168.8057518005371,2.0324543901058063,0.25396426518758136,0.024907442658363522,0.8,500,6,0.03,0.7,"{'subsample': 0.8, 'n_estimators': 500, 'max_depth': 6, 'learning_rate': 0.03, 'colsample_bytree': 0.7}",0.5689978247356731,0.5955222835314944,0.6204262679437544,0.5949821254036406,0.020999047927688336,1
215.80072832107544,1.2305214674575995,0.2754344940185547,0.011181363573504086,1.0,300,8,0.1,0.8,"{'subsample': 1.0, 'n_estimators': 300, 'max_depth': 8, 'learning_rate': 0.1, 'colsample_bytree': 0.8}",0.5284974502157209,0.5706244422963747,0.528939886259878,0.5426872595906579,0.01975539707797583,16
118.0275366306305,4.409267886488037,0.23157731691996256,0.03040256770582414,1.0,100,8,0.03,1.0,"{'subsample': 1.0, 'n_estimators': 100, 'max_depth': 8, 'learning_rate': 0.03, 'colsample_bytree': 1.0}",0.4708311735518529,0.5250005587393116,0.5081326010109255,0.50132144443403,0.0226329326915899,20
53.700429836908974,0.20602539863350175,0.07562780380249023,0.026083595912092982,0.7,200,5,0.03,1.0,"{'subsample': 0.7, 'n_estimators': 200, 'max_depth': 5, 'learning_rate': 0.03, 'colsample_bytree': 1.0}",0.5566800808566383,0.5879000678424149,0.6106880376785239,0.5850893954591924,0.022138048083981572,5
172.20024021466574,7.829630651795752,0.12283190091451009,0.03715307760687978,1.0,200,8,0.03,0.8,"{'subsample': 1.0, 'n_estimators': 200, 'max_depth': 8, 'learning_rate': 0.03, 'colsample_bytree': 0.8}",0.5251311008491486,0.5593069309384879,0.5539415931780265,0.546126541655221,0.015006734339442988,15
69.8559308052063,0.2045907449055,0.06399170557657878,0.0037346048399262825,1.0,300,5,0.1,0.8,"{'subsample': 1.0, 'n_estimators': 300, 'max_depth': 5, 'learning_rate': 0.1, 'colsample_bytree': 0.8}",0.5676104623545952,0.5925635822411274,0.5833452057517159,0.5811730834491462,0.010302204763735516,7
51.106982469558716,0.30466604446399126,0.05953900019327799,0.0038947614298721913,0.7,300,4,0.1,1.0,"{'subsample': 0.7, 'n_estimators': 300, 'max_depth': 4, 'learning_rate': 0.1, 'colsample_bytree': 1.0}",0.5425150666966352,0.5828299536650954,0.6078621214446651,0.5777357139354652,0.026919916417375348,8
99.86154961585999,2.5559526036707974,0.07465418179829915,0.007433597096549958,1.0,500,5,0.1,0.7,"{'subsample': 1.0, 'n_estimators': 500, 'max_depth': 5, 'learning_rate': 0.1, 'colsample_bytree': 0.7}",0.5647567569172216,0.5772046056102187,0.5883727048792807,0.5767780224689071,0.009645887877536544,10
41.5805192788442,1.0691351286453707,0.04998262723286947,0.005049207786123564,0.8,100,6,0.03,0.8,"{'subsample': 0.8, 'n_estimators': 100, 'max_depth': 6, 'learning_rate': 0.03, 'colsample_bytree': 0.8}",0.5411648031116711,0.5741108781110421,0.6023325599533634,0.5725360803920255,0.024996447883022143,12
44.456640084584556,0.49889557184930483,0.05092398325602213,0.0026866453875435516,0.8,300,4,0.03,0.7,"{'subsample': 0.8, 'n_estimators': 300, 'max_depth': 4, 'learning_rate': 0.03, 'colsample_bytree': 0.7}",0.555526444093541,0.5983225092893804,0.5977581193417072,0.5838690242415429,0.020042555078094704,6
111.08708008130391,3.293780876215857,0.029556910196940105,0.0008170100960206603,1.0,300,8,0.05,1.0,"{'subsample': 1.0, 'n_estimators': 300, 'max_depth': 8, 'learning_rate': 0.05, 'colsample_bytree': 1.0}",0.47418754263803375,0.544810268446429,0.5199626736226444,0.5129868282357024,0.029250517537288506,19
51.68928869565328,1.3555564912287112,0.03204639752705892,0.00795615445509229,0.7,500,4,0.1,0.7,"{'subsample': 0.7, 'n_estimators': 500, 'max_depth': 4, 'learning_rate': 0.1, 'colsample_bytree': 0.7}",0.5537324085136551,0.5897278312913581,0.5874857194893746,0.5769819864314626,0.016465396469572156,9
