date,n,mae,rmse,r2,median_absolute_error,mean_bias,macro_mae,low_visibility_mae,ceiling_label_mae,within_1km,within_2km
2026-05-27,6,1.0876028818585206,1.21500243830366,,0.928037578179282,-1.0876028818585206,1.0876028818585206,,1.0876028818585206,0.6666666666666666,1.0
2026-05-28,4,0.20737864756860303,0.32980962146118326,,0.09090333070354539,-0.1836795789054526,0.20737864756860303,,0.20737864756860303,1.0,1.0
2026-05-29,5,0.5785363165411063,0.7189427689890672,,0.6539077138760963,-0.5785363165411063,0.5785363165411063,,0.5785363165411063,0.8,1.0
2026-06-01,4,0.9917621354557515,1.0245694934402134,,0.9082443834586549,-0.9917621354557515,0.9917621354557515,,0.9917621354557515,0.75,1.0
2026-06-02,5,1.0263234312717995,1.1165779673857985,,1.2632263537406416,-1.0263234312717995,1.0263234312717995,,1.0263234312717995,0.4,1.0
2026-06-03,4,0.8720144530246492,0.8997769310250175,,0.8626426869483126,-0.8720144530246492,0.8720144530246492,,0.8720144530246492,0.75,1.0
2026-06-04,4,0.4270342778380374,0.7016751317376622,-1.6258559493283498,0.10760189655257335,-0.31943238128546403,0.7484799607283531,0.10558859494772162,1.3913713265089847,0.75,1.0
2026-06-05,4,1.7215618360528935,2.3055987572198258,-0.1340342675826356,1.1700078114373618,0.4118634337516336,2.569991403904947,4.266850539609054,0.8731322682008399,0.5,0.75
2026-06-09,4,0.3972510354969798,0.45286785381002986,,0.3923977022239207,-0.3972510354969798,0.3972510354969798,,0.3972510354969798,1.0,1.0
2026-06-10,4,2.006429401730805,2.5725389608777416,0.019561969594973472,1.2204661399799441,0.3833593983072143,2.9308121345125495,4.779577600076038,1.0820466689490604,0.25,0.75
2026-06-11,4,1.633295017183174,1.6521856045857166,,1.6032418466505245,-1.633295017183174,1.633295017183174,,1.633295017183174,0.0,1.0
2026-06-12,4,1.9771196478342197,2.3181788347186068,-0.1464433300772945,1.465777782774503,0.04245510805723862,2.664462935817119,4.039149511782917,1.2897763598513208,0.25,0.75
2026-06-13,14,0.7886960198309343,0.8530262410203231,,0.8765956693851624,-0.7886960198309343,0.7886960198309343,,0.7886960198309343,0.6428571428571429,1.0
2026-06-15,4,0.5377758053807824,0.6261249786225422,,0.5136213316495972,-0.5377758053807824,0.5377758053807824,,0.5377758053807824,0.75,1.0
2026-06-16,4,1.7478389254278328,2.2246328193818394,-0.055784785295102335,1.2420356357143918,0.28366989211775717,2.519565161982282,4.06301763509118,0.9761126888733838,0.25,0.75
2026-06-17,4,1.4319539603026787,2.0500681605494644,0.1034070479149517,0.8240062023250392,0.6079477579776396,2.2609639529936394,3.918983938375561,0.602943967611718,0.5,0.75
2026-06-18,4,3.042662780928952,3.629597275774879,-1.107836221489988,3.1215478292264436,1.9581838498430213,3.042662780928952,5.0008466307719734,1.0844789310859309,0.25,0.5
2026-06-19,4,1.5815903476131883,2.6297624958163826,-0.4753388340058473,0.49821997083104996,1.0226456529418506,2.790550898778818,5.208472001110078,0.37262979644755845,0.75,0.75
2026-06-22,13,0.16830847249194406,0.21744246561615693,,0.11325635020903846,0.11050178954668961,0.16830847249194406,,0.16830847249194406,1.0,1.0
2026-06-24,15,0.2561180756623447,0.338811130092626,,0.19235713156164458,-0.18341036170695812,0.2561180756623447,,0.2561180756623447,1.0,1.0
2026-06-25,4,1.842202771226602,1.8874196555866103,,1.9557659832253886,1.842202771226602,1.842202771226602,,1.842202771226602,0.0,0.75
2026-06-26,6,0.46832836613932355,0.531294021805824,-0.2702300192297331,0.5155937973760718,0.3662986282984117,0.3895074262948346,0.6259702458283014,0.15304460676136777,1.0,1.0
2026-06-29,3,5.1914834851657705,5.192789733279303,,5.1331149713689435,5.1914834851657705,5.1914834851657705,,5.1914834851657705,0.0,0.0
