date,model,n,n_low_visibility,mae,rmse,mean_bias
2026-05-27,dummy_10km,6,0,0.0,0.0,0.0
2026-05-27,weather_ridge,6,0,0.6730953800573651,0.691888530011552,-0.6730953800573651
2026-05-27,image_pca_ridge,6,0,0.6659478665887978,0.7700413909971161,-0.6659478665887978
2026-05-27,fusion_pca_ridge,6,0,0.659583472681558,0.775631134444291,-0.659583472681558
2026-05-27,fusion_pca_xgboost,6,0,0.49555285771687796,0.5345793011176107,-0.49555285771687796
2026-05-27,nested_svr_mae,6,0,0.18531815292705822,0.21743176240615236,-0.18531815292705822
2026-05-27,nested_svr_balanced,6,0,0.18531815292705822,0.21743176240615236,-0.18531815292705822
2026-05-27,transfer_weighted_ridge_reference,6,0,1.0876028818585206,1.21500243830366,-1.0876028818585206
2026-05-28,dummy_10km,4,0,0.0,0.0,0.0
2026-05-28,weather_ridge,4,0,0.30431266699825343,0.35383439533302624,-0.30431266699825343
2026-05-28,image_pca_ridge,4,0,0.353033335222507,0.5016700269833456,-0.353033335222507
2026-05-28,fusion_pca_ridge,4,0,0.30381902050524445,0.4806668838863491,-0.30381902050524445
2026-05-28,fusion_pca_xgboost,4,0,0.41010785102844194,0.4478223756198217,-0.41010785102844194
2026-05-28,nested_svr_mae,4,0,0.018137871607454503,0.036275743214909006,-0.018137871607454503
2026-05-28,nested_svr_balanced,4,0,0.23186018030544497,0.3177509383895258,-0.23186018030544497
2026-05-28,transfer_weighted_ridge_reference,4,0,0.20737864756860303,0.32980962146118326,-0.1836795789054526
2026-05-29,dummy_10km,5,0,0.0,0.0,0.0
2026-05-29,weather_ridge,5,0,0.45369065751769355,0.4741709239869482,-0.45369065751769355
2026-05-29,image_pca_ridge,5,0,0.4978324246597655,0.6076103184075576,-0.4978324246597655
2026-05-29,fusion_pca_ridge,5,0,0.4771322342905869,0.5856728489139436,-0.4771322342905869
2026-05-29,fusion_pca_xgboost,5,0,0.4015106201171875,0.4029543833311263,-0.4015106201171875
2026-05-29,nested_svr_mae,5,0,0.17993746379063005,0.20580138083588823,-0.17993746379063005
2026-05-29,nested_svr_balanced,5,0,0.42866129443424617,0.4991673323636775,-0.42866129443424617
2026-05-29,transfer_weighted_ridge_reference,5,0,0.5785363165411063,0.7189427689890672,-0.5785363165411063
2026-06-01,dummy_10km,4,0,0.0,0.0,0.0
2026-06-01,weather_ridge,4,0,0.5325619183790771,0.5380230361884358,-0.5325619183790771
2026-06-01,image_pca_ridge,4,0,0.8127836858450492,0.9298097156073939,-0.8127836858450492
2026-06-01,fusion_pca_ridge,4,0,0.8118127680514982,0.9339674809055464,-0.8118127680514982
2026-06-01,fusion_pca_xgboost,4,0,0.6368350982666025,0.6628360660087325,-0.6368350982666025
2026-06-01,nested_svr_mae,4,0,0.20222287106796077,0.2134384859047272,-0.20222287106796077
2026-06-01,nested_svr_balanced,4,0,0.08238715758927073,0.13484093231062308,-0.08238715758927073
2026-06-01,transfer_weighted_ridge_reference,4,0,0.9917621354557515,1.0245694934402134,-0.9917621354557515
2026-06-02,dummy_10km,5,0,0.0,0.0,0.0
2026-06-02,weather_ridge,5,0,0.9784125859539017,0.9797993762147816,-0.9784125859539017
2026-06-02,image_pca_ridge,5,0,0.4538294544518916,0.48352572803153215,-0.4538294544518916
2026-06-02,fusion_pca_ridge,5,0,0.5898261051846472,0.6067463380220789,-0.5898261051846472
2026-06-02,fusion_pca_xgboost,5,0,0.7446142196655273,0.7523847596515866,-0.7446142196655273
2026-06-02,nested_svr_mae,5,0,0.07477476526227775,0.10877906196139205,-0.07477476526227775
2026-06-02,nested_svr_balanced,5,0,0.4715318505305174,0.5006390320056749,-0.4715318505305174
2026-06-02,transfer_weighted_ridge_reference,5,0,1.0263234312717995,1.1165779673857985,-1.0263234312717995
2026-06-03,dummy_10km,4,4,1.0,1.0,1.0
2026-06-03,weather_ridge,4,4,0.5063498388656527,0.5082428007577527,0.5063498388656527
2026-06-03,image_pca_ridge,4,4,0.40720016245211843,0.4986745301928592,0.3345572227568181
2026-06-03,fusion_pca_ridge,4,4,0.42170509513135546,0.5105104568103347,0.3526719988265068
2026-06-03,fusion_pca_xgboost,4,4,0.33746504783630416,0.4104821411178703,0.33746504783630416
2026-06-03,nested_svr_mae,4,4,0.7300385139466434,0.7634418958878781,0.7300385139466434
2026-06-03,nested_svr_balanced,4,4,0.6515187190157996,0.7372379908487822,0.6112527555077913
2026-06-03,transfer_weighted_ridge_reference,4,4,0.8720144530246492,0.8997769310250175,-0.8720144530246492
2026-06-04,dummy_10km,4,3,0.75,0.8660254037844386,0.75
2026-06-04,weather_ridge,4,3,0.6268720608583358,0.6331927135595321,0.29706380542451605
2026-06-04,image_pca_ridge,4,3,0.48446478972024964,0.5156497810732127,-0.004841201806164985
2026-06-04,fusion_pca_ridge,4,3,0.5048463282943669,0.5411749254501432,0.016651804449527408
2026-06-04,fusion_pca_xgboost,4,3,0.45353841781616255,0.4555362767522735,0.2516570091247563
2026-06-04,nested_svr_mae,4,3,0.6581663487943379,0.6711370439112984,0.3521940899689131
2026-06-04,nested_svr_balanced,4,3,0.5646904257656225,0.5923055499796025,0.13902608938438554
2026-06-04,transfer_weighted_ridge_reference,4,3,0.4270342778380374,0.7016751317376622,-0.31943238128546403
2026-06-05,dummy_10km,4,1,1.25,2.5,1.25
2026-06-05,weather_ridge,4,1,1.5088728459010015,2.325413937407212,0.7708965221482313
2026-06-05,image_pca_ridge,4,1,1.5171915380371588,2.2873024079336988,0.7072569386744134
2026-06-05,fusion_pca_ridge,4,1,1.5307455821938034,2.288122083839845,0.6899578080913966
2026-06-05,fusion_pca_xgboost,4,1,1.5922572612762451,2.4697143181990926,0.8300788402557373
