outer_held_out_date,name,feature_mode,pca_components,C,epsilon,n,mae,rmse,r2,median_absolute_error,mean_bias,macro_mae,low_visibility_mae,ceiling_label_mae,within_1km,within_2km,balanced_regime_mae,date_macro_mae
2026-05-27,image_svr_pc2_C10.0_e0.25,image,2,10.0,0.25,121,0.6944796629874971,1.496448099760976,-0.042559927390887875,0.2504767167385076,0.29740342853590607,2.8951900270450515,2.7276785016893594,0.24265769883152785,0.9090909090909091,0.9090909090909091,1.4851681002604435,0.9160040965279947
2026-05-27,image_svr_pc2_C10.0_e0.5,image,2,10.0,0.5,121,0.8498222531011123,1.458183653860562,0.010075299518524039,0.4960943524934205,0.06573467944681848,2.7279664126603205,2.5177815645068096,0.4791646283442907,0.9090909090909091,0.9090909090909091,1.4984730964255502,1.0412391431981023
2026-05-27,image_svr_pc2_C10.0_e0.75,image,2,10.0,0.75,121,0.9775824469175896,1.485800738993288,-0.027776894008315844,0.7221523755531258,-0.14111670445423533,2.781647876269671,2.300511078786096,0.683598306502366,0.9008264462809917,0.9090909090909091,1.492054692644231,1.1449748024847788
2026-05-27,image_svr_pc2_C30.0_e0.25,image,2,30.0,0.25,121,0.6895381269126856,1.4825994461355063,-0.023352787584967505,0.2512571282096605,0.2779511947479139,2.8144357006172727,2.660595634566649,0.2515253474340271,0.9090909090909091,0.9090909090909091,1.456060491000338,0.9096095841966992
2026-05-27,image_svr_pc2_C30.0_e0.5,image,2,30.0,0.5,121,0.8253838248460338,1.452725993213771,0.017471573037833865,0.4883578446080765,0.07181510478996347,2.6922833444448595,2.467297056498992,0.460514217812043,0.9008264462809917,0.9090909090909091,1.4639056371555175,1.0219169079411536
2026-05-27,image_svr_pc2_C30.0_e0.75,image,2,30.0,0.75,121,0.9440300777097237,1.4880784566006993,-0.030930452652000007,0.6948531985788922,-0.1079513936455652,2.7591848391807683,2.356813933362889,0.630078109786798,0.8099173553719008,0.9090909090909091,1.4934460215748435,1.1207065942622576
2026-05-27,image_svr_pc3_C10.0_e0.25,image,3,10.0,0.25,121,0.7206302493625492,1.5197472507517131,-0.07527721349519068,0.2740405927100671,0.27894497391558243,2.893049510664473,2.748831864014862,0.2699187794398131,0.9008264462809917,0.9090909090909091,1.5093753217273376,0.9275517450634861
2026-05-27,image_svr_pc3_C10.0_e0.5,image,3,10.0,0.5,121,0.8608331127010138,1.5033101552344457,-0.05214329597013645,0.5055462015607048,0.061511566642618386,2.8283038769337687,2.5455546130968427,0.48645055705749635,0.8842975206611571,0.9090909090909091,1.5160025850771695,1.0486423108202978
2026-05-27,image_svr_pc3_C10.0_e0.75,image,3,10.0,0.75,121,0.9765779433582117,1.5436879774091534,-0.10942194800177818,0.6600150059685213,-0.09761571040847569,2.847167795669241,2.4396790071406684,0.6514443736287768,0.7933884297520661,0.9008264462809917,1.5455616903847227,1.1424917259743907
2026-05-27,image_svr_pc3_C30.0_e0.25,image,3,30.0,0.25,121,0.7736353791684581,1.5425179186052127,-0.10774078317486135,0.31933770202268796,0.20632107831958796,2.8753101415872986,2.73259347406337,0.33831135808069984,0.8677685950413223,0.9008264462809917,1.5354524160720349,0.957162374392454
2026-05-27,image_svr_pc3_C30.0_e0.5,image,3,30.0,0.5,121,0.8934875231312133,1.5546123818733755,-0.12517987188162594,0.5104946443277285,0.022555603903789363,2.808616573889883,2.5738589548367066,0.5200716494188814,0.8099173553719008,0.9008264462809917,1.546965302127794,1.0685537731225219
2026-05-27,image_svr_pc3_C30.0_e0.75,image,3,30.0,0.75,121,1.0225958121723842,1.6174504586440475,-0.21797867538423188,0.6517306801661604,-0.14392970501180627,2.895668219000152,2.516341319924612,0.6906523660052225,0.6859504132231405,0.8842975206611571,1.6034968429649172,1.178261916612045
2026-05-27,fusion_svr_pc2_C3.0_e0.25,fusion,2,3.0,0.25,121,0.719064464384666,1.5145889109950144,-0.0679901702573773,0.2719004604736863,0.29546392336919014,2.931626215840866,2.7899530663231045,0.2588669972872352,0.9090909090909091,0.9090909090909091,1.5244100318051699,0.947501370256052
2026-05-27,fusion_svr_pc2_C3.0_e0.5,fusion,2,3.0,0.5,121,0.8687189120277371,1.4782920987590638,-0.017415198925214925,0.49671391873938653,0.05894523000616991,2.8174294347873228,2.5510763905932445,0.49486169456873563,0.9090909090909091,0.9090909090909091,1.52296904258099,1.064413051561
2026-05-27,fusion_svr_pc2_C10.0_e0.25,fusion,2,10.0,0.25,121,0.7496686011854974,1.536032434561635,-0.09844541991894706,0.31629868286669094,0.257946574396133,2.8963719557222523,2.7709417328494834,0.3004967941490561,0.8842975206611571,0.9090909090909091,1.5357192634992698,0.9870325276662221
2026-05-27,fusion_svr_pc2_C10.0_e0.5,fusion,2,10.0,0.5,121,0.8630826378695168,1.5075083179297293,-0.05802795829409213,0.4883194881565629,0.06323425310787732,2.862563094944442,2.5473714501878337,0.488796235132113,0.8842975206611571,0.9090909090909091,1.5180838426599734,1.0790968614200465
