name,feature_mode,pca_components,C,epsilon,n,mae,rmse,r2,median_absolute_error,mean_bias,macro_mae,low_visibility_mae,ceiling_label_mae,within_1km,within_2km,balanced_regime_mae,date_macro_mae
image_svr_pc2_C10.0_e0.25,image,2,10.0,0.25,127,0.659206071342288,1.4554579424372909,-0.02819721078317694,0.2533499057028781,0.2981163007174283,2.8523140190913048,2.763180482990545,0.21837333747312948,0.9133858267716536,0.9133858267716536,1.4907769102318373,0.8773491724565183
image_svr_pc2_C10.0_e0.5,image,2,10.0,0.5,127,0.8300926302816715,1.4274549274851736,0.010987208048225616,0.4932274355688975,0.049939421695829427,2.7427651989987605,2.540092513662332,0.4718069404304853,0.9133858267716536,0.9133858267716536,1.5059497270464086,1.0155195236986756
image_svr_pc2_C10.0_e0.75,image,2,10.0,0.75,127,0.9360120849188698,1.4491486549139385,-0.019302235628139153,0.702026690269193,-0.1250340261074744,2.791888709663471,2.3407775788419825,0.6416802671445035,0.9133858267716536,0.9133858267716536,1.491228922993243,1.1029376102578319
image_svr_pc2_C30.0_e0.25,image,2,30.0,0.25,127,0.6588689576609188,1.452523269470442,-0.024055036114570827,0.2566203549675503,0.28394872980829716,2.827608424345522,2.7213146888316007,0.22673747112991888,0.9133858267716536,0.9133858267716536,1.4740260799807599,0.8743336599432421
image_svr_pc2_C30.0_e0.5,image,2,30.0,0.5,127,0.7864255123755247,1.417175071086023,0.025180722172293835,0.47965880342283285,0.08956608491542481,2.725701461100504,2.5284302921806945,0.42143403470206026,0.9133858267716536,0.9133858267716536,1.4749321634413775,0.9831117128312113
image_svr_pc2_C30.0_e0.75,image,2,30.0,0.75,127,0.8449594402926415,1.437881018372859,-0.003512997385438643,0.623087384409299,-0.03306179024637157,2.7679614892103914,2.3477369658965976,0.5300917682613364,0.8582677165354331,0.9133858267716536,1.438914367078967,1.0276804466541636
image_svr_pc3_C10.0_e0.25,image,3,10.0,0.25,127,0.7034177934403208,1.4494848260326425,-0.01977520258916754,0.2650985863142381,0.19776071561549977,2.8304689476249867,2.6493315392989882,0.2957025324032666,0.8740157480314961,0.905511811023622,1.4725170358511275,0.8941991153197296
image_svr_pc3_C10.0_e0.5,image,3,10.0,0.5,127,0.825302768328372,1.4347958862025445,0.0007886782322256147,0.4707849971764162,0.01647113574655072,2.7334813134350417,2.4971500743116803,0.4750109518366316,0.8740157480314961,0.905511811023622,1.486080513074156,0.9993155170729822
image_svr_pc3_C10.0_e0.75,image,3,10.0,0.75,127,0.9386529983783212,1.4674943687011466,-0.04527361356825499,0.6466260280846932,-0.15566151895431773,2.7964730243996927,2.357885007356349,0.6412901012591151,0.7952755905511811,0.889763779527559,1.499587554307732,1.092196791032684
image_svr_pc3_C30.0_e0.25,image,3,30.0,0.25,127,0.7389668301587479,1.4700924940120874,-0.048978099175248424,0.2772585046866247,0.13684799436562034,2.8147653363513534,2.6083482191108884,0.347286920092585,0.84251968503937,0.8976377952755905,1.4778175696017368,0.9088808167321433
